path,task,source_branch,source_dev,file_count,verdict,rule,size_bytes,sha256
tasks/finalpool/analytics-dashboard/docs/agent_system_prompt.md,analytics-dashboard,lv,lv,4,KEEP,E0,126,8dd7a7291f33576cbe5ce8011eeacbbf21e004b1c3f9891d0df41ba2603a8d3b
tasks/finalpool/analytics-dashboard/docs/task.md,analytics-dashboard,lv,lv,4,KEEP,E0,97,3d66ffab803094d32e04e6fb024743ff1a5eca3dd9681354d88a2ba5cd58d403
tasks/finalpool/analytics-dashboard/docs/user_system_prompt.md,analytics-dashboard,lv,lv,4,KEEP,E0,54,c9a5620e6a2cf157c26c156ef30b96f884c71c19c2a41e2a7ec31d9121b1e88f
tasks/finalpool/analytics-dashboard/evaluation/main.py,analytics-dashboard,lv,lv,4,KEEP,E0,282,2880b57c78a30c851f5dedf8709f1f7dc5e3e57c5ece197089c872c46fdefacc
tasks/finalpool/canvas-automation/docs/agent_system_prompt.md,canvas-automation,ruige,ruige,5,KEEP,E0,124,3fff7a3789f0994564c87089215e5198a1052b89363f928fcb843123595f0edd
tasks/finalpool/canvas-automation/docs/task.md,canvas-automation,ruige,ruige,5,KEEP,E0,93,99af8f2d9577f42f3d88de420f4f8089376a0914fec57cb660c83807e86a667e
tasks/finalpool/canvas-automation/evaluation/main.py,canvas-automation,ruige,ruige,5,KEEP,E0,280,b223eac8426301385b73959a2779d64b376c046294a36b0bca05bcac2aef48cb
tasks/finalpool/canvas-automation/initial_workspace/readme.txt,canvas-automation,ruige,ruige,5,KEEP,E0,40,1448b6764c9da39d6cfde35a20af5e0f082cabfd162fce545b463c60d5a082dd
tasks/finalpool/canvas-automation/preprocess/main.py,canvas-automation,ruige,ruige,5,KEEP,E0,56,00d772691761e36cd57a3b6eadb6b794a28921b7fe2729f781fc33dd649cf4bf
tasks/finalpool/canvas-grade-automation/docs/agent_system_prompt.md,canvas-grade-automation,jl_dev,jl,4,KEEP,E0,130,bb9042943d803e8243e6afbeafc863f6e3c3f5ca0658bcaef57656ae9cc7cd38
tasks/finalpool/canvas-grade-automation/docs/task.md,canvas-grade-automation,jl_dev,jl,4,KEEP,E0,105,80075b32e98a212c1020a76a85c53a656fa8c6d2c38490c382bd3639d596ee04
tasks/finalpool/canvas-grade-automation/evaluation/main.py,canvas-grade-automation,jl_dev,jl,4,KEEP,E0,286,690b38f78b0c6760a4a7a69d27fa26dfc15e78bf1441b8311e6768278c500f9b
tasks/finalpool/canvas-grade-automation/groundtruth_workspace/readme.txt,canvas-grade-automation,jl_dev,jl,4,KEEP,E0,45,e75a4ac1a41df51ae8c0a48171ede1fe4c8c4710d827bd821cb1004c9523a093
tasks/finalpool/certificate-manager/docs/agent_system_prompt.md,certificate-manager,zhaochen,zhaochen,3,KEEP,E0,126,b56f5d639c24275c3c7fa4c9f466e2e2265eee98d1711cb5f6047902047a707f
tasks/finalpool/certificate-manager/docs/task.md,certificate-manager,zhaochen,zhaochen,3,KEEP,E0,97,08c941c4dfc60f56531f6b2ac72dc4438f64eae8ef66fa1e5f52a08a71eee99d
tasks/finalpool/certificate-manager/evaluation/main.py,certificate-manager,zhaochen,zhaochen,3,KEEP,E0,282,40d8344e2f62da91db00157df2fb5f8fa05a8ebb1530481181f70ee8532a3f2e
tasks/finalpool/coupon-manager/docs/agent_system_prompt.md,coupon-manager,fan-dev,fan,4,KEEP,E0,121,b56f256b13448a358ab60ba2d8580de6dd77a5dcd9323e08685a113ba54518b5
tasks/finalpool/coupon-manager/docs/task.md,coupon-manager,fan-dev,fan,4,KEEP,E0,87,c36c0ebed36e5fc8effec2648ce90e835b2a9a3605ffc49b4afc3c906b2c9f0d
tasks/finalpool/coupon-manager/evaluation/main.py,coupon-manager,fan-dev,fan,4,KEEP,E0,277,d7f8072de25031bfdd78f3340039f93ea0cd295be26f854b8e6edc7d1996991a
tasks/finalpool/coupon-manager/groundtruth_workspace/readme.txt,coupon-manager,fan-dev,fan,4,KEEP,E0,36,a448959a12ba0c3ae7dcdd6daf3e00dcd26f84c4527a4f4210f27b1997d608c1
